sensorcount,timestamp,hr
1.64604364705e+12,2022-02-28 11:20:47.054000,114
1.6460436473e+12,2022-02-28 11:20:47.300000,114
1.64604364755e+12,2022-02-28 11:20:47.547000,114
1.64604364779e+12,2022-02-28 11:20:47.793000,114
1.64604364804e+12,2022-02-28 11:20:48.039000,114
1.64604364829e+12,2022-02-28 11:20:48.286000,114
1.64604364853e+12,2022-02-28 11:20:48.532000,114
1.64604364878e+12,2022-02-28 11:20:48.778000,114
1.64604364903e+12,2022-02-28 11:20:49.025000,114
1.64604364927e+12,2022-02-28 11:20:49.271000,114
1.64604364952e+12,2022-02-28 11:20:49.517000,115
1.64604364976e+12,2022-02-28 11:20:49.763000,115
1.64604365001e+12,2022-02-28 11:20:50.009000,115
1.64604365026e+12,2022-02-28 11:20:50.255000,115
1.6460436505e+12,2022-02-28 11:20:50.502000,116
1.64604365075e+12,2022-02-28 11:20:50.748000,116
1.646043651e+12,2022-02-28 11:20:50.994000,117
1.64604365124e+12,2022-02-28 11:20:51.241000,117
1.64604365149e+12,2022-02-28 11:20:51.488000,117
1.64604365173e+12,2022-02-28 11:20:51.733000,117
1.64604365198e+12,2022-02-28 11:20:51.979000,117
1.64604365223e+12,2022-02-28 11:20:52.226000,117
1.64604365247e+12,2022-02-28 11:20:52.472000,118
1.64604365272e+12,2022-02-28 11:20:52.719000,118
1.64604365297e+12,2022-02-28 11:20:52.965000,119
1.64604365321e+12,2022-02-28 11:20:53.211000,119
1.64604365346e+12,2022-02-28 11:20:53.457000,119
1.64604365371e+12,2022-02-28 11:20:53.704000,119
1.64604365395e+12,2022-02-28 11:20:53.949000,119
1.6460436542e+12,2022-02-28 11:20:54.196000,119
1.64604365444e+12,2022-02-28 11:20:54.442000,119
1.64604365469e+12,2022-02-28 11:20:54.689000,120
1.64604365494e+12,2022-02-28 11:20:54.935000,120
1.64604365518e+12,2022-02-28 11:20:55.181000,120
1.64604365543e+12,2022-02-28 11:20:55.428000,121
1.64604365568e+12,2022-02-28 11:20:55.674000,121
1.64604365592e+12,2022-02-28 11:20:55.919000,122
1.64604365617e+12,2022-02-28 11:20:56.166000,122
1.64604365641e+12,2022-02-28 11:20:56.412000,122
1.64604365666e+12,2022-02-28 11:20:56.659000,122
1.64604365691e+12,2022-02-28 11:20:56.905000,121
1.64604365715e+12,2022-02-28 11:20:57.151000,121
1.6460436574e+12,2022-02-28 11:20:57.397000,121
1.64604365764e+12,2022-02-28 11:20:57.644000,121
1.64604365789e+12,2022-02-28 11:20:57.890000,121
1.64604365814e+12,2022-02-28 11:20:58.136000,121
1.64604365838e+12,2022-02-28 11:20:58.383000,121
1.64604365863e+12,2022-02-28 11:20:58.629000,121
1.64604365888e+12,2022-02-28 11:20:58.875000,122
1.64604365912e+12,2022-02-28 11:20:59.122000,122
1.64604365937e+12,2022-02-28 11:20:59.368000,123
1.64604365961e+12,2022-02-28 11:20:59.614000,123
1.64604365986e+12,2022-02-28 11:20:59.860000,123
1.64604366011e+12,2022-02-28 11:21:00.106000,123
1.64604366035e+12,2022-02-28 11:21:00.353000,123
1.6460436606e+12,2022-02-28 11:21:00.599000,123
1.64604366085e+12,2022-02-28 11:21:00.845000,122
1.64604366109e+12,2022-02-28 11:21:01.092000,122
1.64604366134e+12,2022-02-28 11:21:01.338000,122
1.64604366159e+12,2022-02-28 11:21:01.584000,122
1.64604366183e+12,2022-02-28 11:21:01.831000,122
1.64604366208e+12,2022-02-28 11:21:02.077000,122
1.64604366232e+12,2022-02-28 11:21:02.323000,122
1.64604366257e+12,2022-02-28 11:21:02.570000,122
1.64604366282e+12,2022-02-28 11:21:02.815000,123
1.64604366306e+12,2022-02-28 11:21:03.061000,123
1.64604366331e+12,2022-02-28 11:21:03.308000,123
1.64604366356e+12,2022-02-28 11:21:03.554000,123
1.6460436638e+12,2022-02-28 11:21:03.800000,123
1.64604366405e+12,2022-02-28 11:21:04.047000,123
1.64604366429e+12,2022-02-28 11:21:04.293000,123
1.64604366454e+12,2022-02-28 11:21:04.540000,123
1.64604366479e+12,2022-02-28 11:21:04.786000,123
1.64604366503e+12,2022-02-28 11:21:05.032000,123
1.64604366528e+12,2022-02-28 11:21:05.279000,124
1.64604366553e+12,2022-02-28 11:21:05.525000,124
1.64604366577e+12,2022-02-28 11:21:05.771000,125
